2
0
0
0
0,2,-2
0,1,-1
0
0
0
0
0
0
0,2,-3,-1
0,2,-3,-1
0,2,-3,-1
0
0
0
0
0
0
0,1,-1
0,2,-3,-1
0
0
0
0,2,-2
0,2,-3,-1
0
0
0
0
0,2,-2
0,2,-3,-1
0
0
0
0,1,-1
0,2,-3,-1
4
0
0
0,1,-1
0,2,-3,3,-2
0,2,-3,-1
0,2,-2
0
0
0
0
0
0,2,-2
0,1,3,-2
0,2,-3,-1
0
0
0
0
0
0,2,-2
0,2,-2
0,2,-2
0
0
0
0,1,3,-2
0,1,-1
0
0
0
0
0,1,3,-2
0,1,3,-2
0
0
0
0,1,-1
0,2,-2
6
0
0
0,1,-1
0,2,-3,3,-2
0,1,3,-2
0,1,3,-2,2,-2
0
0
0
0
0,1,-1
0,2,-3,3,-2
0,1,3,-2
0,2,-2
0
0
0
0
0,1,-1
0,2,-2
0,1,-1
0,2,-2
0
0
0
0,1,3,-2
0,1,3,-2
0
0
0
0
0,1,3,-2
0,1,-1
0
0
0,2,-2
0,2,-2
0,2,-2
8
0
0
0,2,-3,-1
0,2,-3,3,-2
0,1,3,-2
0,1,3,-2,2,-2
0
0
0
0
0,2,-2,1,-1
0,1,3,-3,3,-2
0,1,3,-2
0,2,-2
0
0
0
0
0,1,-1
0,2,-2
0,1,-1
0,2,-2
0
0
0
0,1,3,-2
0,1,3,-2
0
0
0,2,-2
0,1,-1
0,1,3,-2
0,1,-1
0
0
0,2,-2
0,2,-2
0,2,-2
10
0
0
0,2,-2
0,1,3,-2
0,1,3,-2
0,1,3,-2,2,-2
0
0
0
0
0,2,-2,1,-1
0,2,-3,3,-2
0,2,-3,3,-2
0,2,-2
0
0
0
0
0,1,-1
0,1,3,-2
0,1,-1
0,2,-3,3,-2
0
0
0,2,-2
0,2,-2
0,2,-3,3,-2
0
0
0,2,-2
0,2,-2
0,2,-3,-1
0,2,-3,-1
0
0
0,2,-2
0,2,-2
0,2,-2
12
0
0
0,2,-2
0,2,-3,3,-2
0,2,-3,3,-2
0,2,-2
0
0
0
0,2,-2
0,2,-2,2,-2
0,2,-3,3,-2
0,2,-3,3,-2
0,2,-2
0
0
0
0,2,-2
0,2,-2
0,2,-2
0,1,3,-2
0,2,-3,3,-2
0
0
0,2,-2
0,2,-2
0,2,-3,3,-2
0
0
0,2,-2
0,2,-2
0,2,-2
0,2,-3,3,-2
0
0
0,2,-2
0,2,-2
0,2,-3,3,-2
14
0,2,-2
0,2,-2
0,2,-3,3,-2
0,2,-3,3,-2
0,2,-3,3,-2
0,2,-2
0
0
0
0,2,-2
0,-2,2,-2
0,1,3,-3,3,-2
0,2,-3,3,-2
0,2,-2
0
0
0
0,2,-2
0,2,-2
0,2,-2
0,1,3,-2
0,2,-3,3,-2
0
0
0,2,-2
0,-2,2,-2
0,2,-3,3,-2
0,-2
0,2,-2
0,2,-2
0,1,-1
0,2,-2
0,2,-3,3,-2
0
0
0,2,-2
0,2,-2
0,2,-3,3,-2
16
0,2,-2
0,2,-2
0,2
0,2,-3,-1
0,2,-3,3,-2
0,2,-2
0
0
0
0,2,-2
0,-2,2,-2
0,2,-3,3,-2
0,2,-3,3,-2
0,2,-3,3,-2
0,2,-2
0,2,-2
0
0,2,-2
0,2,-2
0,2,-2
0,1,3,-2
0,2,-3,3,-2
0,2
0,2,-2
0,2,-2
0,-2,2,-3,-1
0,2,-3,3,-2
0,-2
0,2,-2
0,2,-2
0,2,-2
0,2,-2
0,2,-3,3,-2
0
0
0,2,-2
0,-2,2,-2
0,2,-3,3,-2
18
0,-2
0,1,-1
0,2,-3,3
0,2,-3,-1
0,2,-3,3,-2
0,2,-2
0
0
0,-2
0,-2,2,-2
0,-3,3,-2,2,-2
0,1,3,-3,3,-2
0,2,-3,3,-2
0,2,-3,3,-2
0,2,-2
0,2,-2
0
0,2,-2
0,2,-2
0,2,-2
0,1,3,-2
0,-2,2,-3,3,-2
0,2
0,2,-2
0,2,-2
0,-2,2,-3,-1
0,-3,3,-2
0,-2
0,1,-1
0,2,-2
0,1,-1
0,2,-2
0,2,-3,3,-2
0
0
0,2,-2
0,-2,2,-2
0,2,-3,3,-2
20
0,-2,2
0,1,-1,2
0,2,-3,3,-3,3
0,2,-3,-1
0,2,-3,3,-2
0,2,-2
0
0
0,-2
0,-2,2,-2
