0,-1
125,1,3,-2
74,1,-1
85,1,3,-3,-1
101,2,-3,-1
30,1,3,-3,3,-2
10,1,3,-2,2
20,2,-3,3,-2,2
25,-2,2,-3,3,-2,2
2,-3,3,-2,2
8,-1,2,-3,-1
1,-1,2,-3,3,-2
2,-1,2,-3,3,-2,2
7,-1,1,3,-3,3,-2,2
5,-1,1,3,-3,-1,2
0,3,-3,-1,2
4,3
111,2,-2
103,2,-3,3,-2
25,2,-2,2
22,-2,1,3,-2,2
6,-2,2
0
2,-1,2,-3,3,-3,-1
1,-1,1,3,-3,-1
1,3,-3,-1
0,3,-2
0,3,-3
2,3,-3,3,-3
21,2,-3,3,-3,-1
0,-2,2,-3,3,-3,-1
8,-2,1,3,-3,-1
20,-2,1,3,-2
0,-2,1,3,-3,3,-2,2
1,-2,1,3
10,-3,3
11,2,-3,-1,2
19,-2,2,-3,3,-2
3,-3,3,-2
6,-1,1,3,-2
1,3,-3,3,-3,-1
3,2,-3,-1,1
1,-2,2,-3,-1,1
2,-3,-1,1
5,-3
5,-2,2,-2,2
0,-2,1,3,-3,-1,2
1,1,3
15,-2,2,-2
5,-2,2,-3,-1,2
0,1,3,-3,3,-2,2
6,2,-3,3
6,2,-3,3,-2,1
2,3,-2,1
10,2,-2,1
4,1,3,-2,1
3,-2,1
1,-3,3,-3,-1,1
3,-3,3,-3
0,-2,1,-1,2
2,-2,1,3,-3,3,-2
0,-3,3,-3,-1
2,1,3,-3,-1,2
2,2
6,2,-3,3,-3,-1,1
11,1,3,-3,-1,1
1,1,3,-3,3,-2,1
3,-2,2,-3,3,-2,1
7,-2,2,-2,1
0,-3,3,-2,1
0,-1,1,3,-2,2
1,-2,1,3,-2,1
0,-2,1,3,-3,3,-2,1
0,-2,2,-3
13,2,-3
2,2,-3,3,-3
1,-2,2,-3,3,-3
2,-2,1,3,-3
1,-3,3,-3,3,-3
1,-1,1,-1
6,-1,2,-3,-1,2
0,-1,2,-3,3,-3,-1,2
1,-1,2
0,-2
1,-3,-1
3,-3,-1,2
4,-2,2,-3,-1
1,-2,2,-3,3
