0,-1
90,2,-3,-1
18,1,-1
83,1,3,-2
4,2
17,2,-3,3
3,2,-3,3,-3,3
1,1,3,-3,3
13,-2,2,-3,3
38,-3,3
60,-3,3,-3,3
12,-2,2,-3,-1
24,-2
0
28,-3
44,-3,3,-3
8,-3,3,-3,3,-3
46,2,-2
56,2,-3,3,-2
3,1,3,-3,3,-2
47,1,3,-3,-1
2,-1,2,-3,-1
14,-1,2,-2
6,-1,2
12,-1,2,-3,3
4,-1,1,3,-3,3
0,-1,1,3,-3,3,-3,3
16,3,-3,3,-3,3
1,3,-3,3,-3,3,-3,3
26,3,-3,3
2,2,-2,1
2,1,3,-2,1
5,1,3,-3,-1,1
4,2,-3,-1,1
2,-3,-1,1
4,-3,3,-3,-1,1
1,-3,3,-3,3,-2,1
16,-3,3,-2,1
5,-2,2
5,2,-3,3,-3,-1
2,1,3
6,-2,2,-3,3,-3,3
10,-3,3,-3,3,-3,3
0,-2,1,3,-3,3,-2
5,-1,2,-3,3,-2
14,-3,3,-2
24,3,-3,3,-2
6,3,-3,-1
24,-3,3,-3,-1
16,-3,-1
15,-3,3,-2,2
0,2,-3,-1,2
0,2,-2,2,-3,-1,2
0,1,-1,2,-3,-1,2
1,1,3,-3,3,-2,2
4,-3,3,-3,3,-2,2
1,2,-3,3,-3,-1,1
2,-2,1,3,-3,-1,1
0,-2,2,-3,3,-3,-1,1
0,-2,1,3,-3,3,-2,1
2,-2,1,3,-2,1
2,-3,-1,2
11,-3,3,-3,-1,2
1,3,-3,3,-3,-1
22,3,-2
5,-3,3,-3,3,-2
6,-2,1
1,-2,1,3,-3,-1
1,-2,2,-3,3,-3,-1
1,-2,2,-3,3,-2
0,-2,2,-3,3,-3
7,3,-3,3,-2,2
1,2,-3
5,2,-3,3,-3
5,3,-3,3,-3
1,3,-3
17,-2,2,-3
2,-2,1,3,-3
0,-3,3,-3,3,-3,3,-3
3,3,-2,2
2,3,-3,-1,2
0,3,-3,3,-3,-1,2
16,3
2,-1,1,3,-2
0,3,-3,3,-3,3,-2
0,-1,2,-3,-1,1
2,3,-3,-1,1
0,3,-2,1
0,-1,1,-1
4,-1,1,3,-3,3,-2
1,-1,1,3,-3,-1,2
4,-1,1,3,-3,3,-2,2
1,-2,1,3,-3,3,-2,2
0,-2,2,-3,3,-3,-1,2
1,-2,2,-3,3,-2,2
1,2,-3,3,-3,-1,2
0,2,-3,3,-2,2
0,-2,1,3
0,-1,2,-3,3,-3,3
8,-1,1,3
1,-1,2,-2,2
3,-1,2,-3,3,-2,2
0,-1,1,3,-2,2
2,-2,1,3,-2
1,-2,1,3,-2,2
1,-2,1,3,-3,-1,2
