3,-1
0
22,1,-1
11,1,-1,1,-1
2,1,-1,2,-3,-1
12,1,3,-3,-1
3,1,3,-3,-1,2
0,1,3,-3,3,-2,2
0,1,3,-2,2
3,2
13,3
38,3,-3,3
107,-3,3
49,-3,3,-3,3
58,2,-2
1,1,3,-2,1,-1
64,2,-3,-1
1,3,-3,-1
14,3,-3,3,-3,3
13,1,3,-2
26,2,-3,3,-2
13,3,-2
10,3,-3,3,-2
0,3,-3,3,-2,2
22,1,-1,2,-2
4,1,3,-2,2,-2
0,2,-3,3,-3,-1,2
1,-1,2,-3,3,-3,-1,2
2,3,-3,-1,2
2,3,-3,3,-3,-1,2
0,-1,2,-3,-1
4,-1,1,3,-3,-1
9,-2,1,3,-3,-1
2,-2,1,3,-2
48,-3,3,-2
40,-2
24,-3
19,2,-3,-1,2,-2
4,2,-3,-1,2,-2,1
0,1,-1,2,-2,1
4,-2,1
13,-3,3,-2,1
14,-3,3,-2,2
9,2,-2,2,-2
8,2,-2,2,-3,-1
1,2,-3,-1,2
0,-1,2,-3,-1,2
4,-2,2,-3,-1,2
0,-2,1,3,-3,-1,2
14,-3,-1,2
4,-3,3,-3,3,-2
17,-3,3,-3,-1
47,-3,3,-3
3,-1,2,-2,2,-2
2,-1,1,-1,2,-2
3,-1,1,3,-2
0,-1,1,3,-3,3,-2
3,3,-2,1
21,3,-3
16,3,-3,3,-3
3,2,-2,1,-1
2,-2,2,-2
1,-3,3,-2,2,-2
1,2,-3,-1,1,-1
1,-2,1,-1,1,-1
7,-2,2,-3,-1
4,-2,2,-3,3,-2
1,-2,2,-3,3,-2,2
6,-2,2,-2,2
2,-2,2
2,2,-2,1,3,-2
0,-2,2,-2,1,3,-2
0,-2,2,-2,1,-1
2,-2,2,-3,3
28,-3,3,-3,3,-3
1,1,-1,1,3,-2
9,-3,-1
0,1,3
1,1,3,-3,3
11,2,-3,3
6,2,-2,2
4,3,-2,2
8,-3,3,-3,3,-3,3
2,-2,2,-3,3,-2,1
0,-2,2,-2,1
0,2,-3,3,-3,-1
0,-3,3,-3,-1,1
4,-2,1,3,-3,3
0,3,-3,3,-3,3,-3
3,-1,2,-2
3,-1,2
2,-1,2,-3,3
4,-2,1,-1
0,-3,3,-3,3,-3,-1
7,-3,3,-3,-1,2
2,-3,3,-3,3,-2,2
1,-2,1,3
1,1,-1,1,-1,2
0,1,3,-2,1,-1,2
0,1,3,-2,1,-1,1
1,1,3,-3,-1,1
4,1,3,-3
3,2,-3
0,2,-3,3,-2,1,-1
1,3,-2,1,-1
1,3,-2,1,-1,2
1,2,-3,3,-2,2
0,-2,1,3,-2,2
