5,-1
0
144,2,-2
42,1,-1
39,1,3,-2
11,1,3,-2,2
10,1,-1,2
2,-2,1,-1,2
4,-1,1,-1,2
3,-1,2,-2,2
7,3,-2,2
8,-3,3,-2,2
98,-3,3
22,2,-3,-1
18,2,-2,2
7,2,-2,1
5,-1,2,-2,1
1,-1,2,-3,-1,1
0,-1,1,3,-3
14,3,-3
8,-1,2,-2
1,-1,2,-3,-1,2
7,3,-3,-1,2
12,3,-3,3
36,3
4,1
5,1,3,-3
5,2,-3
2,3,-3,3,-3
2,-1,1,-1
4,-1,2,-3,-1
26,-2,2,-2
2,-2,2,-3,-1,2
10,-3,-1,2
13,-2,2
2,-2,1,3,-2,2
50,-3,3,-3,3
30,-3,-1
63,-2
11,3,-3,3,-2
3,3,-3,3,-2,2
32,-2,2,-3,-1
50,-3
36,-3,3,-3
15,3,-3,-1
13,3,-2
0,1,-1,1
23,-3,3,-2
0,-3,3,-3,-1
14,-2,1,-1
7,-2,1,3,-2
2,-2,1,3,-3
11,-2,2,-3
7,-3,3,-3,3,-3
5,-2,1
0,-1,1,3,-2,2
0,-1,1,3,-2,1
1,-2,1,3,-2,1
2,-3,-1,1
2,2,-2,2,-2
1,2,-3,-1,2
0,-2,2,-2,2
0,-3,3,-3,-1,2
5,-3,3,-2,1
0,2,-3,3,-2
1,3,-3,-1,1
5,3,-2,1
4,-1,1,3,-2
0,-2,2,-3,3,-2
1,3,-3,3,-3,3
1,2
