7,-1
0
231,2,-2
39,-2,2,-2
20,-2,1,-1,2
16,-2,2,-2,2
21,-3,3,-2,2
45,-3,3
14,-1,2,-2
19,-1,2
47,3
12,-3,3,-2
3,-3,-1
35,-3
5,1,3,-2
9,3,-2
38,3,-3
2,-2,1,-1
3,-3,-1,2
12,-3,3,-3,3
16,-3,3,-3
23,2,-2,2
20,2,-2,1
11,-2,2,-2,1
11,-3,3,-2,1
1,-3,-1,1
108,1,-1
18,1,-1,2
31,-2,2
5,1,3,-3
3,1
18,2,-3
5,-2,2,-3
1,2,-3,-1
23,-2
5,-2,1
3,3,-3,3
6,3,-2,2
3,3,-3,-1,2
0,2,-3,-1,2
3,-1,2,-2,2
8,1,3
0,2,-3,3
29,2
4,-1,1,3
0,-1,1,-1
0,-1,1,-1,2
1,-2,1,-1,1
0,-1,1,-1,1
2,3,-3,-1,1
5,-1,2,-3
6,-1,2,-2,1
0,-2,2,-3,3
5,-2,1,3
3,3,-3,-1
0,3,-3,3,-2
0,1,3,-2,2
1,-2,1,3,-2
