54,-1
0
235,2,-2
70,-2
25,-2,2,-2
1,-3,-1
12,-2,2
0,-2,2,-3,-1,2
0,-2,1,-1,2
6,-3,3
15,1,3,-2
8,2,-2,1
0,-1,2,-2,1
1,3,-3
1,-3,3,-2
18,-3
38,2
10,2,-2,2
0,1,3,-2,2
7,1,-1,2
4,1,3
36,1,-1
20,1
1,2,-3
8,2,-3,-1
0,-2,2,-2,2
0,-2,1,3
1,2,-3,-1,2
2,2,-3,3
0,-2,2,-3,3
10,-2,1
4,-2,2,-2,1
1,-2,2,-3
9,-1,2
4,3
5,-1,2,-2
8,3,-2
0,1,3,-2,1
0,2,-2,2,-2
1,2,-3,3,-2
0,-1,1,3,-2
6,-1,1
0,-1,2,-3
0,1,-1,2,-2
0,2,-2,1,-1
