0,-1
13,1,-1
90,1,3,-2
45,1,3,-3,-1
2,1,3,-3,-1,2
3,1,-1,2
0,2,-3,3,-3,-1,2
0,-2,2,-3,3,-3,-1,2
0,-1,2,-3,3,-3,-1,2
4,-1,2,-3,3,-2,2
12,3,-3,3,-2,2
6,-3,3,-3,3,-2,2
0,-3,3,-3,3,-3,-1,2
4,-3,3,-3,-1,2
50,-3,3,-3,3
58,2,-2
42,2,-3,3,-2
11,-1,2,-3,3,-2
1,-1,2
10,3
23,3,-3,3
77,2,-3,-1
7,1,3,-3,3,-2
13,3,-3,3,-2
2,3,-3,3,-3
16,3,-3,3,-3,3
5,1,3
6,2,-3,3
4,-2,2,-3,3
59,-3,3
4,3,-2
46,-3,3,-2
12,-3,3,-3,-1
25,-3,3,-2,2
35,-3
8,2,-3,-1,2
3,2,-3,-1,1
0,1,-1,1
2,1,3,-3,-1,1
1,-2,1,3,-3,-1,1
1,-2,1,3,-3,3,-2,1
1,-2,1,3,-3,3,-2,2
3,-2,2,-3,3,-2,2
9,2,-2,2
7,1,3,-2,2
0,-2,1,3,-2,2
12,-2,2,-3,3,-2
8,-2,2,-2
15,-2,2
4,-2,2,-3
0,-2,2,-3,3,-3
12,-3,3,-3,3,-3
49,-3,3,-3
6,-2,1,3,-2
8,-1,2,-2
10,-1,1,3,-2
0,-1,1,3,-3,-1
1,-1,1,3,-3,-1,2
6,3,-3,-1,1
10,3,-3
11,-2,2,-3,-1
6,-3,3,-3,3,-2
0
4,-2,1,3,-3,-1
1,-2,1,3,-3,-1,2
4,2,-3,3,-3,-1
0,-1,2,-3,3,-3,-1
1,-1,1,-1
9,-1,2,-3,-1
0,-3,3,-3,3,-3,-1
14,-3,-1
2,-3,-1,2
7,-2
3,-1,1,3,-2,2
2,3,-2,1
4,3,-3,3,-2,1
7,-3,3,-3,-1,1
0,-3,3,-2,1
6,1,3,-3,3
1,2
3,-2,2,-3,3,-3,-1
1,-2,2,-3,3,-3,-1,1
3,-2,2,-3,-1,1
2,-2,2,-3,-1,2
3,2,-3
0,1
9,2,-2,1
3,-3,-1,1
5,-1,2,-3,3,-3,3
1,-1,2,-3,3
5,2,-3,3,-2,2
1,3,-2,2
2,3,-3,-1
0,1,3,-2,1
1,-2,1
1,2,-3,3,-3
0,2,-3,3,-3,3,-3
2,-2,2,-3,3,-3,3
1,-1,1,3
2,-2,2,-2,2
3,-3,3,-3,3,-3,3
