6,-1
87,1,-1
102,2,-3,-1
90,1,3,-2
15,1,3,-3,-1
9,3,-3,-1
27,3,-2
32,-3,-1
0
68,-3,3
141,2,-2
6,2,-2,1
4,-2,1
1,-3,3,-2,1
36,-3,3,-3
4,2,-2,1,3,-2
11,2,-2,2,-2
48,-2
19,3
14,3,-3,3
3,3,-3,3,-3,3
43,-3
1,-2,2,-2
1,-2,2,-3,-1
27,-3,3,-3,-1
1,1,3,-3,3,-2
4,1,3,-3,3
4,1,3
33,-3,3,-3,3
6,-2,1,3,-2
1,-2,1,-1
56,-3,3,-2
12,3,-3,3,-2
15,-3,3,-3,3,-2
31,2,-3,3,-2
4,2
9,-3,3,-2,2
0,-3,-1,2
8,2,-3
1,1,3,-3
4,-3,3,-3,3,-3
4,2,-3,3,-3,-1
5,3,-3
2,3,-3,3,-3
12,2,-3,3
0,-2,2
3,1,-1,2,-2
2,3,-3,3,-3,3,-2
0,3,-3,3,-3,3,-3
8,1,-1,1,-1
7,2,-2,1,-1
0,2,-2,2,-3,-1
2,1,-1,1,3,-2
0,2,-3,-1,1
0,1,3,-2,1,-1
0,2,-3,-1,2,-2
1,-2,2,-3,3
