20,-1
0
26,1,-1
1,2,-3,-1
1,3,-3,-1
11,3,-2
45,3
96,-3,3
36,2,-2
27,2
8,1,3
3,3,-3,3
48,-2
37,3,-3
57,-2,2
5,-1,2
29,-3,-1,2
16,-3,-1
11,-2,2,-2
47,-3
33,1
24,2,-2,1
15,1,-1,1
9,-3,-1,1
4,-2,1,-1
8,-1,2,-2
1,-1,1,-1
6,-1,1,3
1,1,3,-2
3,1,3,-3
0,2,-3
2,-3,3,-3
28,-2,1
6,2,-2,2
1,2,-3,3
1,3,-2,2
0,1,-1,2
6,-2,1,3
3,-1,2,-3
0,-1,1
1,-3,3,-2
