3,-1
0
81,1,-1
117,2,-2
4,1,3,-2
7,1,3
5,-1,1,3
10,-1,2
38,3
102,-3,3
4,1,3,-3
7,2,-3
6,2
2,-2,2,-3
4,-1,2,-3
13,3,-3
22,-2,2,-2
15,3,-2
9,3,-3,3
5,2,-2,1
7,1,-1,1
11,-3,-1,1
3,3,-2,1
0,-1,1
69,-2
16,-3,3,-2
0,3,-3,-1
0,3,-3,3,-2
59,-3
4,2,-3,-1
6,2,-3,3
27,-2,2
5,-2,1,3
3,-2,2,-3,3
9,-3,3,-3,3
40,-2,1,-1
8,-2,1,-1,1
14,-3,-1,2
19,-1,1,-1
6,-1,1,-1,2
8,-1,2,-2,2
7,3,-2,2
7,1,-1,2
22,-2,1
6,-2,2,-2,2
22,-3,-1
12,-3,3,-3
4,-1,2,-2
0,3,-3,-1,1
7,-3,3,-2,1
1,-2,1,3,-3
0,-2,1,3,-2
13,2,-2,2
4,3,-3,3,-3
2,-2,1,-1,2
1,-3,3,-2,2
