0,-1
29,2,-3,-1
60,2,-2
60,1,3,-2
2,1,3,-2,2
1,1,3,-3,-1,2
5,-3,-1,2
2,-3,3,-3,-1,2
1,-3,3,-3,3,-2,2
17,-3,3,-2,2
14,-2,2
76,-3,3
47,-3,3,-3,3
0
26,-2,1,3,-2
1,-2,1,3,-2,2
1,-2,1,3,-2,1
6,-2,2,-3,3,-2,1
15,-2,2,-3
47,-3,3,-3
9,2,-2,1,3,-2
22,2,-3,3,-2
17,-2
7,2,-2,1
5,2,-3,-1,1
3,-3,-1,1
9,-3,3,-3,-1,1
8,-3,3,-2,1
10,-3,3,-3,3,-3
34,1,-1
7,2
11,2,-3,3
5,2,-3,3,-3,3
1,1,3,-2,1,-1
23,1,3,-3,-1
7,-2,1,3,-3,-1
0,3,-3,-1
14,3
33,3,-3,3
39,2,-2,1,-1
6,2,-2,2,-3,-1
5,-2,2,-3,-1
5,-3,3,-3,-1
2,-3,-1
16,-3
13,2,-2,2,-2
3,2,-3,-1,2,-2
0,-2,2,-3,-1,2,-2
0,-2,2,-3,-1,2,-2,2
3,-2,2,-3,3,-2,2
4,2,-2,2,-3,-1,1
11,2,-3
5,1,3,-2,2,-2
27,-3,3,-2
16,-1,1,3,-2
4,1,-1,1,3,-2
6,-2,2,-3,3,-2
3,-2,2,-3,3,-3
6,-2,2,-2,1,-1
4,-1,2,-3,-1
8,-1,2
2,-1,1,3
1,1,3,-3
1,-1,1,3,-3
1,3,-3
3,2,-3,3,-3,-1
3,-2,2,-3,3,-3,-1
2,-2,2,-3,-1,2
2,-2,2,-3,3
0,-2,1,3,-3
10,1,-1,2,-2
1,-2,1,-1,2,-3,-1
6,-2,1,-1
0,2,-2,1,3
12,-1,2,-2
18,-1,2,-3,3,-2
6,3,-2,2
1,-1,1,-1
0,-1,1,-1,2,-2
3,-1,1,3,-3,3,-2
0,-3,3,-3,3,-2
0,-2,2,-2,2,-2
0,-2,2,-2
7,2,-3,3,-3
0,3,-3,3,-3
0,1,-1,2,-3,-1
1,1,3,-3,-1,1
2,-2,1,3,-3,-1,1
2,3,-2
1,-1,2,-3,-1,2
5,-1,2,-2,2
0,-2,2,-2,2
4,3,-3,3,-2
5,3,-3,3,-2,1
8,-1,2,-3,3
0,-1,1,3,-3,3
0,-2,1,-1,2,-2
4,-1,2,-2,2,-2
0,-2,1,3
1,1,3,-3,3,-2
0,3,-2,1
0,3,-3,3,-2,2
0,3,-3,-1,2
1,3,-3,3,-3,3
0,-1,1,3,-2,2
0,-1,1,-1,2
0,-1,1,3,-3,-1,2
4,-2,2,-2,2,-3,-1
0,-2,2,-3,-1,1
3,3,-3,-1,2,-2,2
2,-1,2,-3,3,-3
0,-1,2,-3,3,-3,3
1,-2,2,-3,3,-3,3
0,-2,1,3,-3,3,-3,3
