1,-1
0
73,1,-1
176,2,-2
22,2,-2,2
4,2,-3,3
22,3
29,3,-3,3
19,-3,3,-3,3
6,2
8,-1,2
3,-1,1,3
8,2,-3,-1
3,3,-3,-1
36,3,-2
31,3,-3
2,1,-1,2
8,-2,1,-1,2
2,-2,1,3
10,1
5,-1,1
3,-1,1,-1,1
3,-1,1,-1,2
11,-3,-1,2
29,-2
17,-3,-1
3,1,3,-2
11,-3,3,-2
7,-2,1
3,3,-2,1
21,2,-3
50,-3
149,-3,3
19,-2,2,-2
9,-2,2,-2,1
4,-2,2,-2,2
29,-2,2
4,1,-1,1
33,2,-2,1
1,-2,1,-1,1
11,-3,3,-3
4,1,3,-3
5,-1,2,-3
7,-3,3,-2,2
5,-1,2,-2,1
1,-1,2,-2,2
2,3,-2,2
1,-2,2,-3,3
4,-3,-1,1
0,-1,2,-2
1,-3,3,-2,1
