5,-1
128,2,-2
41,2,-3,-1
35,1,3,-2
4,-2,2,-3,-1
9,-2,1,-1
39,-3,3,-2
24,-3,3,-2,2
59,-3,3
0
8,-2,1,3,-2
26,-3,-1
33,-3,3,-3
25,1,-1
3,-1,1,3,-2
7,-1,2,-2
1,-1,2,-2,1
0,-1,2,-3
1,-1,2
1,-1,2,-3,3
20,3,-3,3
25,3
27,2
3,1,3
23,2,-3,3
4,2,-3,-1,2
6,1,-1,2
5,-2,1,-1,2
1,-2,2,-2,2
30,-2,2
11,-3,-1,2
49,-3
8,-2,2,-2,1
0,-2,1,3,-2,1
7,-2,1,3,-2,2
17,1,3,-2,2
13,-1,1,3,-2,2
13,3,-2,2
13,3,-3,-1
31,3,-2
23,-2
3,-3,3,-3,-1,2
10,-3,3,-2,1
13,-2,2,-2
2,-2,2,-3
13,2,-2,1,-1
3,1,-1,1,-1
0,1,3,-3,-1
15,-3,3,-3,3
3,3,-3,3,-3
0,1,-1,2,-2
2,2,-2,2,-2
2,3,-3,3,-2
6,3,-2,1
1,-1,1
3,2,-3,-1,1
2,1,-1,1
3,1,3,-2,1
2,2,-2,1
7,-2,1
6,2,-3
0,2,-3,3,-2
12,3,-3
0,1,3,-3
1,2,-3,3,-3
19,2,-2,2
1,-1,2,-2,2
0,-2,2,-3,-1,2
1,-1,1,-1
1,-1,1,3
2,-2,2,-3,3
