3,-1
119,1,3,-2
248,2,-2
138,2,-3,-1
2,1,3,-2,2
14,1,3
17,2
9,2,-3,3
42,-3,3
34,-3,3,-3,3
62,2,-3,3,-2
45,-3,3,-2
8,3,-3,3,-2
18,3,-3,3
6,3,-3,3,-3,3
14,3
32,-2
22,-3
24,-3,3,-3
51,1,-1
0
6,-3,-1
1,-3,3,-3,-1
10,-3,3,-3,3,-3
5,-2,2,-3,3,-2
7,-2,1,3,-2
7,-3,3,-2,2
14,3,-2
2,3,-3,-1
13,3,-3
37,2,-3
15,1,3,-3
16,1,3,-3,-1
1,2,-2,1,-1
0,2,-2,1,3,-3,-1
2,2,-2,1,3,-2
9,2,-3,3,-3
0,-2,2,-2
5,3,-3,3,-3
3,2,-3,3,-3,-1
0,2,-3,3,-3,3,-2
1,2,-3,3,-3,3
2,2,-3,-1,1
