21,-1
0
59,1,-1
6,1,3,-2
14,2,-3,-1
13,2
34,-2,2
81,-3,3
33,-3,-1
20,-3,3,-2
13,-3,3,-2,2
13,-3,-1,2
146,2,-2
23,-1,2,-2
9,-1,2,-2,2
5,-1,2,-2,1
0,-1,2,-3,3
10,3,-3,3
45,3
35,2,-2,2
13,1,-1,2
1,2,-3,-1,2
45,-2
73,-3
8,2,-3
5,-2,2,-3
8,1,3
0,-2,1,3
0,-1,1,3
15,-2,2,-2
25,3,-2
5,-3,-1,1
0,-3,3,-2,1
2,-2,1
5,-1,1,-1
22,-2,1,-1
21,-3,3,-3
24,3,-3
4,3,-3,-1
11,3,-2,2
11,3,-2,1
3,-1,1,-1,2
6,-1,2
2,-1,1
0,-2,1,-1,2
3,-1,2,-3
1,3,-3,-1,2
3,-3,3,-3,3
0,1,3,-3
3,1
2,1,-1,1
