0,-1
0
107,2,-2
103,1,-1
28,1,3,-2
6,1,3,-2,2
7,1,-1,2
2,2,-2,2
8,2,-3,-1,2
0,-1,1,-1,2
0,-1,1,3,-3,3
27,3,-3,3
30,-3,3,-3,3
142,-3,3
37,2,-3,-1
5,-1,2
17,-1,2,-3,3
20,3
9,3,-2,2
2,-2,2,-3,-1,2
10,-3,-1,2
0,2,-2,1,-1
0,1,-1,2,-3,-1
3,1,3
1,1,3,-3,3
8,-2,2,-3,-1
9,-3,-1
16,-3,3,-2
21,3,-3
8,3,-3,3,-3
13,-2,2,-2
21,-2,2
9,-2,2,-3,3
7,-1,2,-2
3,-1,2,-3,-1
9,-1,1,3,-2
4,-1,1,3
9,-2,1,3,-2
7,2
8,2,-3,3
10,-2,1,3
5,1,-1,1
0,-1,2,-3,-1,2
0,-2,1,-1,2
1,-3,3,-3,-1,2
1,1,-1,1,-1
1,1,-1,1,3,-2
1,2,-2,1,3,-2
19,-2
2,2,-3,3,-2
8,3,-2
26,-3,3,-3
21,2,-3
12,1,3,-3
5,1
6,-2,1
10,-1,2,-3
7,-3,-1,1
1,-3,3,-2,1
12,-2,1,3,-3,3
5,-3,3,-2,2
2,2,-2,1
5,-2,2,-3
27,-3
0,1,-1,2,-2
1,3,-3,3,-3,3
1,2,-2,2,-2
0,2,-2,2,-3
4,-1,1
1,-2,1,3,-3
0,-1,1,-1
0,-1,1,3,-2,2
0,-1,1,3,-3
4,-3,3,-3,-1
0,-3,3,-3,3,-2
7,-3,3,-3,3,-3
