5,-1
60,2,-3,-1
84,1,3,-2
60,2,-2
2,2,-2,2
13,2,-3,-1,2
4,1,3,-3,-1,2
0,-2,2,-3,-1,2
0,-2,1,-1,2
1,-2,1,3,-3,-1,2
0,-2,1,3,-2,2
10,-3,3,-2,2
9,-3,3,-3,-1,2
3,-3,3,-3,3,-3,-1,2
13,-3,3,-3,3,-3,3
52,-3,3,-3,3
0,1,-1,2,-2
0,1,-1,1,3,-2
23,1,-1
17,-3,-1
33,-3,3,-2
11,-3,3,-2,1
6,-3,3,-3,3,-2,1
47,-3,3,-3
11,-3,3,-3,3,-3
44,-3
33,1,3,-3,-1
12,1,3,-3,3,-2
42,2,-3,3,-2
2,1,3,-3,3,-2,2
15,2,-3,3,-2,2
11,2,-3,3
2,2,-3,3,-3,3
39,3,-3,3
13,3,-3,3,-3,3
2,2
3,2,-3,3,-3
9,2,-3
2,1,3,-3
3,-2,2,-3
48,3,-2
11,3,-3,-1
3,3,-3,3,-3,-1
18,-3,3,-3,-1
1,-3,3,-3,-1,1
6,-3,-1,2
53,-3,3
5,1,3,-2,2
2,1,3,-3,3
1,-2,2,-3,3,-3,3
1,-1,1,3,-3,-1
23,3,-3,3,-2
2,3,-3,3,-2,2
2,3,-3,3,-3,-1,2
13,-1,1,3,-2
6,-1,2,-2
1,-1,2,-3,-1
9,-2
6,-2,1
0
3,-1,2,-3,3
2,-1,1,3,-3,3
0,1
1,-2,1,-1
3,-2,2,-3,-1
1,-2,2,-2
1,-2,2,-3,3,-2
0,-2,2,-3,3
4,2,-3,3,-3,-1
5,-1,2,-3,3,-3,-1
1,-2,1,3,-3,-1
2,-2,2
0,2,-2,1,-1
0,2,-2,2,-3,-1
1,2,-2,2,-2
22,3
0,2,-3,3,-3,-1,1
12,2,-3,3,-2,1
1,2,-3,-1,1
0,-2,2,-3,-1,1
2,-1,2,-3
0,-1,2,-3,3,-3
1,2,-2,1
3,3,-3,3,-2,1
3,-3,-1,1
1,-3,3,-3,3,-3,-1,1
2,1,-1,2
11,-3,3,-3,3,-2
1,-2,1,3,-3,3,-2
0,-1,1,3,-3,3,-2
0,3,-3,3,-3,3,-2
0,2,-3,3,-3,-1,2
1,-1,2,-3,3,-2,1
0,1,3
1,-2,1,3,-3
0,-3,3,-3,3,-2,2
1,-1,2,-3,3,-2
6,-1,2
1,-2,1,3,-2
0,3,-3
0,1,3,-2,1
