1,-1
58,2,-2
68,1,3,-2
33,1,3,-3,-1
3,1,3
8,1,3,-3,3
5,2,-3,3
1,-1,2,-3,3
2,-1,1,3
40,3,-3,3
17,3
61,-3,3
48,-3,3,-3,3
9,1,3,-3,3,-2
57,2,-3,3,-2
10,-2,2,-3,3,-2
0,-1,2,-3,3,-2
8,-1,2,-3,-1
0,-1,2,-3,-1,2
0,-1,1,3,-3,-1,2
0,-1,1,3,-3,3,-2,2
0,-1,1,-1,2
2,3,-3,-1,2
0,3,-3,3,-3,-1,2
86,2,-3,-1
22,-2
22,3,-2
6,3,-3,3,-2
0,3,-3,3,-2,1
0,3,-3,3,-3,3,-2,2
0,3,-3,3,-3,3,-3,3
4,3,-3,3,-3,3
3,2,-2,1
3,2,-3,-1,1
2,1,3,-3,-1,2
1,1,3,-3,3,-2,2
3,1,3,-2,2
5,2
0
6,-2,2,-3,-1
7,-2,2,-2
48,-3,3,-2
24,-3,3,-2,2
64,-3,3,-3
15,1,-1
3,1,3,-3
8,2,-3
5,-1,2,-3
0,-1,2,-3,3,-3
11,-2,1
21,-3
7,3,-3,-1
2,3,-3
9,3,-3,3,-3
24,-3,3,-3,3,-3
6,-3,3,-3,3,-2
11,-3,-1
6,-3,3,-2,1
6,-3,3,-3,-1,1
3,-3,-1,1
2,1,-1,2,-3,-1
0,2,-2,2,-3,-1
21,-3,3,-3,-1
7,-2,1,3,-2
10,-2,2,-3,3
5,-2,2
2,-2,1,3
4,-2,1,3,-3,3,-2,2
3,-2,2,-3,3,-2,2
1,2,-3,3,-2,2
5,-1,2,-3,3,-2,2
0,-1,2,-3,3,-2,1
0,-1,1,3,-2,1
4,3,-2,1
0,-1,1,3,-2,2
3,2,-3,3,-3,-1
15,-3,3,-3,-1,2
5,2,-3,-1,2
3,1,-1,2
9,-3,-1,2
3,-3,3,-3,3,-3,-1,2
5,-3,3,-3,3,-3,3
0,-3,3,-3,3,-3,-1
0,2,-3,3,-2,1
1,2,-3,3,-3
0,1,3,-3,3,-2,1
1,-3,3,-3,3,-2,1
2,2,-2,2,-2
1,-2,1,3,-2,2,-2
3,3,-3,3,-3,-1
1,-1,1,3,-3
0,-2,2,-2,1
1,-1,2,-2,2
1,3,-2,2
4,2,-2,2
1,-2,2,-2,2
0,-3,3,-3,3,-2,2
